NAME                                              	CHART VERSION	APP VERSION	DESCRIPTION                                       
prometheus-community/kube-prometheus-stack        	73.2.1       	v0.82.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	73.2.0       	v0.82.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	73.1.0       	v0.82.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	73.0.0       	v0.82.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	72.9.1       	v0.82.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	72.9.0       	v0.82.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	72.8.0       	v0.82.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	72.7.0       	v0.82.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	72.6.4       	v0.82.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	72.6.3       	v0.82.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	72.6.2       	v0.82.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	72.6.1       	v0.82.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	72.5.3       	v0.82.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	72.5.2       	v0.82.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	72.5.1       	v0.82.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	72.5.0       	v0.82.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	72.4.0       	v0.82.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	72.3.1       	v0.82.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	72.3.0       	v0.82.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	72.2.0       	v0.82.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	72.1.1       	v0.82.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	72.1.0       	v0.82.0    	kube-prometheus-stack collects Kubernetes manif...
